brand,department,model,category,country,production_start_year,production_end_year,image,description
Peugeot,Valentigney,BELGE à colonnes torsadées,Bois,France,1879,1936,belge_a_colonnes.JPG,
Peugeot,Valentigney,Laque imitation bois,Bois,France,1933,1939,laque_bois.JPG,noyer naturel glacé
Peugeot,Valentigney,RIC,Bois,France,1936,1939,ric.JPG,
Peugeot,Valentigney,Cubique Grand Luxe,Bois,France,1941,1943,cubique.JPG,
Peugeot,Valentigney,DBC,Bois,France,1931,1936,dbc.JPG,
Peugeot,Valentigney,DA,Bois,France,1904,1936,da.JPG,
Peugeot,Valentigney,DO,Bois,France,1930,1938,do.JPG,
Peugeot,Valentigney,DSC decoré,Bois,France,1931,1936,dsc_decore.JPG,Coleur n'est pas d'origine
Peugeot,Valentigney,SN,Bois,France,1925,1937,sn.JPG,
Peugeot,Valentigney,T,Bois,France,1850,1930,t.JPG,
Peugeot,Valentigney,DEMI-FIN,Bois,France,1850,1876,demi_fin.JPG,
Peugeot,Pont de Roide,T,Bois,France,,,t_pont_de_roide.JPG,
Peugeot,Valentigney,Laque decore,Bois,France,1932,1939,laque_decore.JPG,Restauré
Peugeot,Valentigney,Diabolo,Tôle,France,1952,1956,diabolo.JPG,
Peugeot,Valentigney,G,Tôle,France,1876,1936,g.JPG,
Peugeot,Valentigney,M,Tôle,France,1872,1915,m.JPG,
Peugeot,Valentigney,H,Tôle,France,1902,1936,h.JPG,
Peugeot,Valentigney,A,Fonte,France,1864,1956,a.JPG,
Peugeot,Valentigney,M,Poivre,France,1950,1962,m_poivre.JPG,
Peugeot,Valentigney,U,Poivre,France,1860,1943,u.JPG,
Peugeot,Valentigney,U Laqué,Poivre,France,1933,1939,u_laque.JPG,Restauré
Peugeot,Valentigney,Z ?,Poivre,France,,,maybe_z.JPG,
Peugeot,,à poivre à manivelle,Poivre,France,,,poivre_peugeot.JPG,
Peugeot,Valentigney,Z,Poivre,France,,,z.JPG,
Peugeot,Valentigney,Boite à Lettres,Mural,France,1920,1936,boite_lettres.JPG,
Japy,Beaucourt,Boite à Lettres,Mural,France,,,boite_a_lettres_japy.JPG,
Japy,Beaucourt,Tonneau,Poivre,France,,,japy_tonneau.JPG,
Japy,Beaucourt,Poivre en tôle decoré,Poivre,France,,,japy_en_tole_poivre.JPG,
Japy,Beaucourt,Decoré,Bois,France,,,japy_decoré.JPG,
Japy,Beaucourt,Tabatiere,Tôle,France,,,japy_tabatiere.JPG,
Japy,Beaucourt,Decoré belge,Bois,France,,,japy_decoré_belge.JPG,
Mutzig Framont,,Decoré,Bois,Alsace,,,MF_decore.JPG,
Mutzig Framont,,A,Fonte,Alsace,,,mf_fonte.JPG,
Goldenberg,,A,Fonte,France,,,Goldenberg_fonte.JPG,
Grulet,,Decoré,Bois,France,,,grulet_decore.JPG,
Japy,Anduze,Comptoir,Fonte,France,,,japy_anduze.JPG,
Somborn,,Belge,Bois,France,,,somborn_belge.JPG,
Bartolomeo Truchetti,,Comptoir,Fonte,Italie,,,bt_fonte.JPG,
Bartolomeo Truchetti,,Belge,Bois,Italie,,,bt_bois.JPG,
,,Musical à tête de sanglier,Poivre,Suisse,,,musical.JPG,
Manufacture,,Louis XIV,Bois,France,,,louis_xiv.JPG,
Manufacture,,Sablier,Tôle,France,,,sablier.JPG,
Manufacture,,Bois massif,Bois,France,,,bois_massif.JPG,
